source,source_id,url,price,currency,property_type,land_area_m2,construction_area_m2,bedrooms,bathrooms,parking_spaces,age_years,price_per_construction_m2,price_per_land_m2,latitude,longitude,coordinate_quality,state,municipality,neighborhood,postal_code,street,inegi_cve_ageb,ageb_assignment_quality,population,occupied_housing,population_density,housing_density,car_ownership_ratio,internet_access_ratio,average_schooling,employment_ratio,establishments_500m,establishments_1km,retail_500m,retail_1km,restaurants_hotels_500m,restaurants_hotels_1km,health_500m,health_1km,education_500m,education_1km,financial_500m,financial_1km,professional_services_500m,professional_services_1km,training_readiness,market_segment,price_band,quality_flags
mercadolibre,MLM-2388867743,https://terreno.mercadolibre.com.mx/MLM-2388867743-terreno-en-venta-en-lomas-de-cocoyoc-atlatlahucan-morelos-_JM,4123000.0,MXN,terreno,665.0,,,,,,,6200.0,,,medium,Morelos,Atlatlahucan,Lomas De Cocoyoc,,,0138,approximate_coordinate,973.0,397.0,335.65998876705885,136.9547950056756,0.924433249370277,0.9420654911838791,14.18,0.972568578553616,46,49,16,16,15,15,1,1,0,1,0,0,0,0,B,land,3M-5M,"missing_construction_area,missing_coordinates"
mercadolibre,MLM-2776122689,https://terreno.mercadolibre.com.mx/MLM-2776122689-terrenos-en-cuautla-morelos-escrituras-publicas-exelente-ubicacion-privacidad-entrada-pavimentadaa-unos-minutos-del-vips-cuautla-oportunidad-_JM,1138000.0,MXN,terreno,207.0,,,,,,,5497.58,,,medium,Morelos,Cuautla,Centro,,,0832,approximate_coordinate,4782.0,1262.0,4120.9850493128815,1087.553979973412,0.3795562599049128,0.47385103011093505,9.02,0.9799054373522459,203,580,92,274,35,93,4,11,6,15,0,0,0,2,B,land,1M-2M,"missing_construction_area,missing_coordinates"
mercadolibre,MLM-2751879805,https://departamento.mercadolibre.com.mx/MLM-2751879805-oportunidad-unica-en-yautepec-departamento-en-venta-ideal-para-inversion-o-disfrute-propio-ubicacion-cuautla-morelos-caracteristicas-2-habitaciones2-bano-sala-y-comedor-cocina-amenidad-_JM,1300000.0,MXN,departamento,80.0,80.0,2,2.0,2,,16250.0,,,,medium,Morelos,Yautepec,Centro,,,0108,approximate_coordinate,1976.0,603.0,1985.85527835229,606.0074558939427,0.48258706467661694,0.6252072968490879,10.5,0.973172987974098,584,713,229,280,169,198,26,31,3,7,3,3,17,17,B,residential,1M-2M,"missing_coordinates,same_land_and_construction_area"
mercadolibre,MLM-2365104551,https://terreno.mercadolibre.com.mx/MLM-2365104551-lindo-terreno-plano-y-centrico-_JM,8190000.0,MXN,terreno,2925.0,,,,,,,2800.0,,,medium,Morelos,Jiutepec,Tlahuapan,,,1065,approximate_coordinate,4717.0,1441.0,8162.233260786099,2493.4869893561095,0.5905621096460791,0.7925052047189451,12.08,0.9761336515513126,308,1401,139,592,40,187,8,80,7,34,3,8,10,33,B,land,8M-12M,"missing_construction_area,missing_coordinates"
mercadolibre,MLM-5229660244,https://departamento.mercadolibre.com.mx/MLM-5229660244-departamento-con-alberca-en-temixco-_JM,680000.0,MXN,departamento,45.0,45.0,2,2.0,1,,15111.11,,,,medium,Morelos,Temixco,Lauro Ortega,,,0689,approximate_coordinate,2450.0,640.0,4660.181968652193,1217.3536571173076,0.30625,0.5265625,8.1,0.9854838709677419,147,502,69,260,18,57,2,14,1,6,0,0,2,9,B,residential,<1M,"missing_coordinates,same_land_and_construction_area"
mercadolibre,MLM-4978106948,https://departamento.mercadolibre.com.mx/MLM-4978106948-departamento-en-lomas-de-cortes-_JM,4500000.0,MXN,departamento,370.0,157.0,3,3.0,3,,28662.42,,,,medium,Morelos,Cuernavaca,Lomas De Cortes,,,0717,approximate_coordinate,4653.0,1465.0,6525.631889820488,2054.5993377577943,0.6621160409556314,0.8552901023890785,12.51,0.9622166246851386,266,1045,86,372,46,175,14,66,15,39,4,10,10,36,B,residential,3M-5M,missing_coordinates
mercadolibre,MLM-4777818700,https://departamento.mercadolibre.com.mx/MLM-4777818700-departamento-en-venta-en-lomas-de-cortes-_JM,4400000.0,MXN,departamento,,156.0,0,2.0,2,,28205.13,,,,medium,Morelos,Cuernavaca,Lomas De Cortes,,,0717,approximate_coordinate,4653.0,1465.0,6525.631889820488,2054.5993377577943,0.6621160409556314,0.8552901023890785,12.51,0.9622166246851386,266,1045,86,372,46,175,14,66,15,39,4,10,10,36,B,residential,3M-5M,"missing_coordinates,missing_land_area"
mercadolibre,MLM-2425473975,https://terreno.mercadolibre.com.mx/MLM-2425473975-terreno-en-venta-en-lomas-de-cocoyoc-atlatlahucan-morelos-_JM,3942000.0,MXN,terreno,657.0,,,,,,,6000.0,,,medium,Morelos,Atlatlahucan,Lomas De Cocoyoc,,,0138,approximate_coordinate,973.0,397.0,335.65998876705885,136.9547950056756,0.924433249370277,0.9420654911838791,14.18,0.972568578553616,46,49,16,16,15,15,1,1,0,1,0,0,0,0,B,land,3M-5M,"missing_construction_area,missing_coordinates"
mercadolibre,MLM-2800604071,https://departamento.mercadolibre.com.mx/MLM-2800604071-departamento-en-venta-en-cocoyoc-morelos-_JM,1950000.0,MXN,departamento,154.0,154.0,4,3.0,1,,12662.34,,,,medium,Morelos,Yautepec,Cocoyoc,,,0201,approximate_coordinate,4208.0,1234.0,3679.966722951729,1079.1537395728217,0.38006482982171796,0.5380875202593193,9.52,0.9859034600598034,288,527,142,263,41,84,8,16,4,15,0,0,3,4,B,residential,1M-2M,"missing_coordinates,same_land_and_construction_area"
mercadolibre,MLM-2505795545,https://terreno.mercadolibre.com.mx/MLM-2505795545-terreno-urbano-en-centro-jiutepec-jiutepec-morelos-_JM,16000000.0,MXN,terreno,9550.0,,,,,,,1675.39,,,medium,Morelos,Jiutepec,Centro Jiutepec,,,1084,approximate_coordinate,2129.0,704.0,6005.284940640889,1985.7776412452727,0.5710227272727273,0.8181818181818182,12.54,0.9747211895910781,545,1899,218,865,75,232,27,74,32,49,12,16,9,29,B,land,12M-20M,"missing_construction_area,missing_coordinates"
mercadolibre,MLM-5229559666,https://departamento.mercadolibre.com.mx/MLM-5229559666-departamento-duplex-en-venta-cumbres-del-campestre-xochite-_JM,560000.0,MXN,departamento,81.0,53.0,2,2.0,1,,10566.04,,,,medium,Morelos,Xochitepec,Lázaro Cárdenas,,,0384,approximate_coordinate,3215.0,875.0,1648.7768340122786,448.733975042222,0.42514285714285716,0.5222857142857142,9.62,0.9790794979079498,79,231,28,92,22,58,6,12,5,5,0,0,0,3,B,residential,<1M,missing_coordinates
mercadolibre,MLM-5793568720,https://departamento.mercadolibre.com.mx/MLM-5793568720-departamento-en-venta-lomas-de-san-francisco-emiliano-zapata-cuernavaca-morelos-_JM,1300000.0,MXN,departamento,,71.0,0,2.0,2,,18309.86,,,,medium,Morelos,Emiliano Zapata,San Francisco,,,0343,approximate_coordinate,5558.0,1669.0,5916.1311453321605,1776.5424400070847,0.4793289394847214,0.658478130617136,11.06,0.9792027729636048,117,327,60,160,20,38,0,3,3,14,0,1,2,5,B,residential,1M-2M,"missing_coordinates,missing_land_area"
mercadolibre,MLM-2425396293,https://terreno.mercadolibre.com.mx/MLM-2425396293-terreno-en-venta-en-lomas-de-cocoyoc-_JM,2345000.0,MXN,terreno,350.0,,,,,,,6700.0,,,medium,Morelos,Atlatlahucan,Lomas De Cocoyoc,,,0138,approximate_coordinate,973.0,397.0,335.65998876705885,136.9547950056756,0.924433249370277,0.9420654911838791,14.18,0.972568578553616,46,49,16,16,15,15,1,1,0,1,0,0,0,0,B,land,2M-3M,"missing_construction_area,missing_coordinates"
mercadolibre,MLM-2718563093,https://terreno.mercadolibre.com.mx/MLM-2718563093-terreno-en-venta-km-27-libramiento-cuernavaca-cuautla-yautepec-morelos-_JM,2000000.0,MXN,terreno,632.0,,,,,,,3164.56,,,medium,Morelos,Cuautla,Miguel Hidalgo,,,0620,approximate_coordinate,3394.0,977.0,6289.341047804352,1810.4555697421483,0.3541453428863869,0.5721596724667349,9.92,0.9731653888280394,282,1297,97,523,47,200,14,83,15,43,1,18,4,21,B,land,2M-3M,"missing_construction_area,missing_coordinates"
mercadolibre,MLM-5218000456,https://departamento.mercadolibre.com.mx/MLM-5218000456-departamento-en-venta-en-cascadas-de-cocoyoc-3-recamaras-y-balcon-_JM,2600000.0,MXN,departamento,,100.74,3,2.0,2,,25809.01,,,,medium,Morelos,Yautepec,Real de Oaxtepec,,,0409,approximate_coordinate,288.0,100.0,353.56376816215766,122.76519727852695,0.83,0.79,11.66,0.9645390070921985,2,44,1,12,0,11,0,2,0,0,0,0,0,0,B,residential,2M-3M,"missing_coordinates,missing_land_area"
mercadolibre,MLM-2309651041,https://terreno.mercadolibre.com.mx/MLM-2309651041-magnifico-terreno-comercial-_JM,20776000.0,MXN,terreno,5936.0,,,,,,,3500.0,,,medium,Morelos,Jiutepec,José López Portillo,,,0508,approximate_coordinate,2157.0,558.0,4947.192618875219,1279.8022630191804,0.3924731182795699,0.5340501792114696,9.2,0.9669117647058824,89,486,30,222,7,61,2,13,2,16,0,1,2,6,B,land,>20M,"missing_construction_area,missing_coordinates"
mercadolibre,MLM-3262786539,https://departamento.mercadolibre.com.mx/MLM-3262786539-departamento-en-venta-en-emiliano-zapata-morelos-_JM,1192000.0,MXN,departamento,71.0,71.0,3,2.0,1,,16788.73,,,,medium,Morelos,Emiliano Zapata,Emiliano Zapata,,,0038,approximate_coordinate,4664.0,1272.0,11925.068484559137,3252.2914048797647,0.2940251572327044,0.5345911949685535,9.3,0.9810126582278481,788,1784,414,892,76,207,33,62,17,30,6,12,13,23,B,residential,1M-2M,"missing_coordinates,same_land_and_construction_area"
